Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginTestSuit,Chrome 68.0.3440.106,LoginFunctionality,2018-08-23 14:58:51,2018-08-23 14:59:10,19.043s,PASSED
,,,,,,
Test Cases/Testcase3,Chrome 68.0.3440.106,,2018-08-23 14:58:52,2018-08-23 14:59:10,18.739s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-23 14:58:52,2018-08-23 14:58:55,3.224s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-23 14:58:55,2018-08-23 14:58:59,4.157s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-08-23 14:58:59,2018-08-23 14:59:01,1.161s,PASSED
Statement - title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 68.0.3440.106,,2018-08-23 14:59:01,2018-08-23 14:59:01,0.046s,PASSED
"Statement - title1 = ""Amazon.com:Online""",Chrome 68.0.3440.106,,2018-08-23 14:59:01,2018-08-23 14:59:01,0.001s,PASSED
"Statement - If (title.contains(""Amazon""))",Chrome 68.0.3440.106,,2018-08-23 14:59:01,2018-08-23 14:59:01,0.024s,PASSED
click,Chrome 68.0.3440.106,,2018-08-23 14:59:01,2018-08-23 14:59:02,1.413s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-23 14:59:02,2018-08-23 14:59:02,0.178s,PASSED
click,Chrome 68.0.3440.106,,2018-08-23 14:59:02,2018-08-23 14:59:03,1.157s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-23 14:59:03,2018-08-23 14:59:03,0.114s,PASSED
click,Chrome 68.0.3440.106,,2018-08-23 14:59:03,2018-08-23 14:59:07,3.753s,PASSED
mouseOver,Chrome 68.0.3440.106,,2018-08-23 14:59:07,2018-08-23 14:59:07,0.201s,PASSED
click,Chrome 68.0.3440.106,,2018-08-23 14:59:07,2018-08-23 14:59:09,1.951s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-08-23 14:59:09,2018-08-23 14:59:10,1.053s,PASSED
