Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginTestSuit,Chrome 68.0.3440.106,LoginFunctionality,2018-08-23 17:22:07,2018-08-23 17:22:58,51.289s,PASSED
,,,,,,
Test Cases/Testcase3,Chrome 68.0.3440.106,,2018-08-23 17:22:07,2018-08-23 17:22:58,51.010s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-23 17:22:08,2018-08-23 17:22:11,3.252s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-23 17:22:11,2018-08-23 17:22:15,4.533s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-08-23 17:22:15,2018-08-23 17:22:17,1.161s,PASSED
Statement - title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 68.0.3440.106,,2018-08-23 17:22:17,2018-08-23 17:22:17,0.017s,PASSED
"Statement - title1 = ""Amazon.com:Online""",Chrome 68.0.3440.106,,2018-08-23 17:22:17,2018-08-23 17:22:17,0.000s,PASSED
"Statement - If (title.contains(""Amazon""))",Chrome 68.0.3440.106,,2018-08-23 17:22:17,2018-08-23 17:22:17,0.028s,PASSED
click,Chrome 68.0.3440.106,,2018-08-23 17:22:17,2018-08-23 17:22:18,1.682s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-23 17:22:18,2018-08-23 17:22:18,0.172s,PASSED
click,Chrome 68.0.3440.106,,2018-08-23 17:22:18,2018-08-23 17:22:19,0.807s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-23 17:22:19,2018-08-23 17:22:19,0.127s,PASSED
click,Chrome 68.0.3440.106,,2018-08-23 17:22:19,2018-08-23 17:22:23,3.297s,PASSED
delay,Chrome 68.0.3440.106,,2018-08-23 17:22:23,2018-08-23 17:22:26,3.009s,PASSED
callTestCase,Chrome 68.0.3440.106,,2018-08-23 17:22:26,2018-08-23 17:22:49,23.741s,PASSED
delay,Chrome 68.0.3440.106,,2018-08-23 17:22:49,2018-08-23 17:22:52,3.003s,PASSED
mouseOver,Chrome 68.0.3440.106,,2018-08-23 17:22:52,2018-08-23 17:22:53,0.199s,PASSED
delay,Chrome 68.0.3440.106,,2018-08-23 17:22:53,2018-08-23 17:22:56,3.003s,PASSED
click,Chrome 68.0.3440.106,,2018-08-23 17:22:56,2018-08-23 17:22:57,1.448s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-08-23 17:22:57,2018-08-23 17:22:58,1.181s,PASSED
