Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginTestSuit,Chrome 68.0.3440.106,LoginFunctionality,2018-08-23 13:14:56,2018-08-23 13:15:13,16.992s,FAILED
,,,,,,
Test Cases/Testcase3,Chrome 68.0.3440.106,,2018-08-23 13:14:56,2018-08-23 13:15:12,15.799s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-23 13:14:56,2018-08-23 13:15:00,3.501s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-23 13:15:00,2018-08-23 13:15:05,4.728s,PASSED
Statement - title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 68.0.3440.106,,2018-08-23 13:15:05,2018-08-23 13:15:05,0.031s,PASSED
"Statement - title1 = ""Amazon.com:Online""",Chrome 68.0.3440.106,,2018-08-23 13:15:05,2018-08-23 13:15:05,0.001s,PASSED
"Statement - If (title.contains(""Amazon""))",Chrome 68.0.3440.106,,2018-08-23 13:15:05,2018-08-23 13:15:05,0.019s,PASSED
click,Chrome 68.0.3440.106,,2018-08-23 13:15:05,2018-08-23 13:15:06,1.720s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-23 13:15:06,2018-08-23 13:15:07,0.167s,PASSED
click,Chrome 68.0.3440.106,,2018-08-23 13:15:07,2018-08-23 13:15:08,1.263s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-23 13:15:08,2018-08-23 13:15:08,0.117s,PASSED
click,Chrome 68.0.3440.106,,2018-08-23 13:15:08,2018-08-23 13:15:11,3.529s,PASSED
click,Chrome 68.0.3440.106,,2018-08-23 13:15:11,2018-08-23 13:15:12,0.385s,FAILED
